Sno, songs,singer,lyrics,emotion
77,Chand Sifarish,"Shaan, Kailash Kher","Subhaan Allaah Subhaan Allah Subhaan Allah Subhaan Allah... (x2)

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata

Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Zidd Hain Ab Toh Hain Khud Ko Mitana Hona Hain Tujhmein Fanaa

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata

Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Teri Adaa Bhi Hain Jhonke Wali Chhu Ke Gujar Jaane De

Teri Lachak Hain Ke Jaise Daali Dil Mein Utar Jaane De

Aaja Baahon Mein Karke Bahana Hona Hain Tujhmein Fanaa

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata
Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Subhaan Allaah Subhaan Allaah Subhaan Allah Subhaan Allah... (2)

Hain Jo Iraaden Bata Doon Tumko Sharma Hi Jaaogi Tum

Dhadakanen Jo Suna Doon Tumko Ghabraa Hi Jaaogi Tum

Hamko Aata Nahi Hain Chhupana Hona Hain Tujhmein Fanaa

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata

Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Zidd Hain Ab Toh Hain Khud Ko Mitana Hona Hain Tujhmein Fanaa",
78,Tujh Mein Rab Dikhta Hai,Roop Kumar,"Tu hi toh jannat meri, Tu hi mera junoon Tu hi to mannat meri, Tu hi rooh ka sukoon Tu hi aakhion ki thandak, tu hi dil ki hai dastak Aur kuch na janu mein, bas itna hi jaanu Tujh mein rab dikhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Sajdhe sar jukhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Ohhhh hoooo ohh hellip;. Kaisi hai yeh doori, kaisi majboori Meine nazron se tujhe choo liya Oh ho ho Kabhi teri khusboo Kabhi teri baatein Bin mange yeh jahan pa liya Tu hi dil ki hai raunak, Tu hi janmo ki daulat Aur kuch na janoo Bas itna hi janoo Tujh mein rab dikhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Sajdhe sar jukhta hai Yaara mein kya karuo Tujh mein rab dikhta hai Yaara mein kya karuo Vasdi vasdi vasdi, dil di dil vich vasdi Nasdi nasdi nasdi, dil ro ve te nasdi Rab Ne hellip; Bana Di Jodi hellip;..haiiiiii Vasdi vasdi vasdi, dil di dil vich vasdi Nasdi nasdi nasdi, dil ro ve te nasdi Cham cham aaye, mujhe tarsaye Tera saaya ched ke chumta Oh ho ho hellip; tu jo muskaye Tu jo sharmaye Jaise mera hai khuda jhumta Tu hi meri hai barkat, tu hi meri ibadat Aur kuch na janu, bas itna hi janu Tujh mein rab dikhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Sajdhe sar jukhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Vasdi vasdi vasdi, dil di dil vich vasdi Nasdi nasdi nasdi, dil ro ve te nasdi Rab Ne Bana Di Jodi.. haiiiiii",
79,Haule Haule,Sukhwinder Singh,"Haule Haule... (x4) Haule Haule Se Hawa Lagti Hai Haule Haule Se Dawa Lagti Hai Haule Haule Se Dua Lagti Hai, Haaan Haaye, Haule Haule Chanda Badhta Hai Haule Haule Ghonghat Uth Ta Hai Haule Haule Se Nasha Chadhta Hai, Haan Tu Sabar To Kar Mere Yaar, Zara Saans To Le Dildaar Chal Fikar Nu Goli Maar Yaar Hai Din Jindai De Chaar ( Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar )... (x2) Haule Haule, Haule Haule Haule Haule, Haule Haule Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar Pa Ni De , De Ga Pa Ma Ga Re... (x2) Pa Ni Ga , Ga Ma Ga Ma Ga Re Pa Da Pa Ni Da Ma Pa Da Ma Ga Re Risthon Ki Galiyaan Tang Hai Sharmo Sharmliee Band Hai Khud Se Khud Ki Yeh Kaise Jung Hai Pal Pal Yeh Dil Ghabraye Pal Pal Yeh Dil Sharmaye Kuch Kehta Hai Aur Kuch Kar Jaaye Kaise Yeh Peheli.. Muh Dil Mar Jana.. Ishq Mein Jaldi Bada Jurmaana Tu Sabar To Kar Mere Yaar, Zara Saans To Le Dildaar Chal Fikar Nu Goli Maar Yaar Hai Din Jindai De Chaar ( Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar )... (x2) Haule Haule, Haule Haule Haule Haule, Haule Haule Haaye Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar Rab Da Hi Tab Koi Hona, Karein Koi Yun Jaadu Tona Maan Jaaye Maan Jaaye Haye Mera Sona.. Rab De Saare Chalde, Na Hai Kinare Chal De Koi Hai Na Kahare Chal De Kya Kheh Ke Gaya Tha Shayar Woh Shayana.. Aag Ka Dariya Doob Ke Jana Tu Sabar To Kar Mere Yaar, Zara Saans To Le Dildaar Chal Fikar Nu Goli Maar Yaar Hai Din Jindai De Chaar ( Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar )... (x2) Haule Haule , Haule Haule Haule Haule , Haule Haule Haaye Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar Haule Haule Se Dua Lagti Hai, Haaa",
80,Aankhein Khuli,"Lata Mangeshkar, Udit Narayan","Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Hey aankhein khuli ho ya ho band

Deedar unka hota hai

Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai
Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Aaj hi yaaron kisi pe mar ke dekhenge hum

Pyaar hota hai yeh kaise karke dekhenge hum

Kisi ki yaadon mein khoye hue

Khwaabon ko humne saja liya

Kisi ki baahon mein soye hue

Apna use bana liya

Aye yaar pyaar mein koi

Aye yaar pyaar mein koi

Na jaagta na sota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Kya hai yeh jaadu hai koi bas jo chal jata hai

Tod ke pehre hazaaron dil nikal jata hai

Door kahin aasmanon par

Hote hain yeh saare faisle

Kaun jaane koi humsafar

Kab kaise kahan mile

Jo naam dil pe ho likha

Jo naam dil pe ho likha

Ikraar usi se hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Aankhein khuli ho ya ho band

Deedar unka hota hai

Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai",
81,Ladki Kyon,"Alka Yagnik, Shaan | Jatin-Lalit","(Ladki Kyon Na Jane Kyon Ladkon Si Nahin Hoti Sochti Hai Zyada, Kam Wo Samajhti Hai )...(x2) Dil Kuch Kahta Hai, Kuchh Aur Hi Karti Hai Ladki Kyon Na Jaane Kyon Ladkon Si Nahin Hoti...(x2) Sochti Hai Zyada...Kuch Aur Hi Karti Hai Ladki Kyon Na Jaane Kyon Ladkon Si Nahin Hoti...(x2) Pyar Use Bhi Hai Magar Shuruat Tumhi Se Chahe Khud Mein Uljhi Uljhi Hai Par Baloon Ko Suljhaye I Mean We Are All The Same Yaar Ham Achchhe Dost Hai Magar Us Nazar Se Tumko Dekha Nahin Wo Sab To Theek Hai Par Is Baare Mein Maine Socha Nahin Sabse Alag Ho Ye Kahke Paas Tumhare Aaye Aur Kuchh Din Mein Tum Mein Alag Sa Kuchh Bhi Na Usko Bhaye Uf Ye Kaisi Shirt Pehante Ho Ye Kaise Baal Katate Ho, Gaadi Tez Chalate Ho Tum Jaldi Mein Kyon Khate Ho, Give Me A Break! Tumhein Badalne Ko Paas Vo Aati Hai Tumhein Mitane Ko Jaal Bichati Hai Baaton Baaton Mein Tumhein Phasati Hai Pehle Hasati Hai Phir Bada Rulati Hai Ladki Kyon Na Jaane Kyon Ladkon Si Nahin Hoti...(x2) Itnaa Hi Khud Se Khush Ho To, Peeche Kyon Aate Ho Phool Kabhi To Hazaar Tohfe Aakhir Kyon Laate Ho Apna Naam Nahin Bataya Aapne Coffee Peene Chaleingi Aap Main Aapko Ghar Chhod Doon, Phir Kab Mileingi Bikhra Bikhra Bematlab Sa, Toota Phoota Jeena Aur Kahte Ho Alag Se Hain Hum Taan Ke Apna Seena Bheega Toliya Kahin Farsh Pe Toothpaste Ka Dhakkan Kahin Kal Ke Mauze Ulat Ke Pahne, Waqt Ka Kuch Bhi Hosh Nahin Jeene Ka Tumko Dhang Sikhlate Hain Tumhein Jaanvar Se Insan Banate Hain Uske Bina Ek Pal Rah Na Sakoge Tum Usko Pata Hai Ye Kah Na Sakoge Tum Isliye Ladkiyan Ladkon Si Nahin Hoti...(x2) Jaane Koun Koun Se Din Wo Tumko Yaad Dilaye Pyar Ko Chahe Bhool Bhi Jaaye, Tarikhe Na Bhulaye First March Ko Nazar Milayee, Char April Ko Main Milne Aayee Ikkis May Ko Tumne Chhua Tha, Chah June Mujhe Kuch Hua Tha Ladkon Ka Kya Hai Kisi Bhi Mod Pe Vo Mud Jayein Abhi Kisi Ke Hain, Abhi Kisi Aur Se Vo Jud Jayein Tumhare Mummy Daddy Ghar Par Nahin Hain, Great! Main Aa Jaon Tumhari Friend Akeli Ghar Ja Rahi Hai, Bechari! Main Chhod Aaoon Ek Haan Kahne Ko Kitna Tahlaati Hai Thak Jaate Hain Hum Wo Jee Bahlati Hai Wo Sarmati Hai Kabhi Chupati Hai Ladki Jo Haan Kah De Use Nibhati HaiB Isliye Ladakiyan Ladkon Si Nahin Hoti...(x2)",
82,Aal Izz Well,"Sonu N, Swanand K & Shaan | Shantanu M","All is well all is well
Angels and men rejoice
For tonight darkness fell
Into the dawn of love's light
Sing A-le
Sing Alleluia
All is well all is well
Let there be peace on earth
Christ is come go and tell
That He is in the manger
Sing A-le
Sing Alleluia

All is well all is well
Lift up your voices and sing
Born is now Emmanuel
Born is our Lord and Savior
Sing Alleluia
Sing Alleluia
All is well",
83,Give Me Some Sunshine,Shantanu Moitra,"Saari umar hum
Mar mar ke jee liye
Ek pal to ab humein jeene do
Jeene do

Saari umar hum
Mar mar ke jee liye
Ek pal to ab humein jeene do
Jeene do


Na na na….Na na na….Na
na na….Na na nana na….


Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again

Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again


Bachpan to gaya
Jawani bhi gayi
Ek pal to ab humein
Jeene do jeene do

Bachpan to gaya
Jawani bhi gayi
Ek pal to ab humein

Jeene do jeene do


Saari umar hum
Mar mar ke jee liye
Ek pal to ab humein jeene do
Jeene do


Na na na….Na na na….Na
na na….Na na nana na….


Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again

Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again


Na na na….Na na na….Na
na na….Na na nana na….
Na na na….Na na na….Na
na na….Na na nana na…",
84,Behti Hawa Sa Tha Woh,Shantanu Moitra,"Behti Hawa Sa Tha Woh
Udti Patang Sa Tha Woh
Kahan Gaya Usse Dhoondo
Humko Toh Raahein Thi Chalati
Woh Khud Apni Raah Banata
Girta Sambhalta Masti Mein Chalta Tha Woh
Humko Kal Ki Fikar Sataati
Woh Bas Aaj Ka Jashn Manaata
Har Lamhe Ko Khulke Jeeta Tha Woh
Kahan Se Aaya Tha Woh
Chhooke Hamare Dil Ko Kahan Gaya Usse Doondo
Sulagti Dhoop Mein Chhaaon Ke Jaisa
Registaan Mein Gaaon Ke Jaisa
Mann Ke Ghaav Me Marham Jaisa Tha Woh
Hum Sahme Se Rehte Kuwein Mein
Woh Nadiya Mein Gote Lagata
Ulti Dhara Cheerke Tairta Tha Woh
Baadal Awara Tha Woh
Yaar Hamara Tha Woh
Kahan Gaya Usse Dhoondo",
85,Woh Din,Pritam,"Yaadon ke purane album mein

Chhupa ke rakhe hain humne woh din

Hmm.. gullak mein padi chavanni si

Bacha ke rakhe hain humne woh din

Na kisi manzil ki fikar thi

Zindagi jeene ki umar thi

Dosti aur doston se udhar ke din the

Woh din bhi kya din the, woo…

Hmm… woh din bhi kya din the, woo… (x2)

Kar na mana the kaam jo
Humne kiya har kaam woh

Jinki nahi thi permission

Saare kiye intezam woh

Bedhab harkataon ke

Bhoot sar pe sawar ke din the

Haq karne ke yaaron

Aar ya phir paar ke din the

Woh din bhi kya din the

Woh din bhi kya din the, woo…

Hmm… woh din bhi kya din the, woo… (x2)",
86,Naach Meri Jaan,Pritam,"e nach meri jan fata fat fat nach meri jan fata fat fat

bat meri man fata fat fat bat meri man fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat

nach meri jan fata fat fat bat meri man fata fat fat

dekho dekho dekho dekho naye dance ka namuna

dekho dekho dekho dekho naye dance ka namuna

kabhi main tumhe chhuunga kabhi tum mujhe chhuna

kabhi main tumhe chhuunga kabhi tum mujhe chhuna

mujhe chhu mujhe chhu mujhe chhu mujhe chhu
mujhe chhu mujhe chhu mujhe chhu

naya tal nayi tan fata fat fat

nach meri jan fata fat fat bat meri man fata fat fat

nach meri jan fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat

thandi thandi thandi thandi is ret ka bichona

thandi thandi thandi thandi is ret ka bichona

khelen pyar wala khel leke dil ka khilona

khelen pyar wala khel leke dil ka khilona

i love you i love you i love you

i love you i love you i love you i love you ha

dekhe sara ye jahan fata fatfat

nach meri jan ay fata fat fat bat meri man oy fata fat fat

nach meri jan ae fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat

teri meri jodi pyari tu hai shola main chingari

teri meri jodi pyari tu hai shola main chingari

tere rup ka main mara mere pyar ki tu mari

tere rup ka main mara mere pyar ki tu mari

mera tu meri tu mera tu meri tu

mera tu mera tu mera tu aa

main hun teer tu kaman fata fat fat

nach meri jan fata fat fat bat meri man fata fat fat

ae nach meri jan fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat",
87,Radio,Pritam,"khushkhabri aesi mili hai uchhlne lage hum hawa mein puri hui dil ki tamanna badha hi asar tha dua mein khushkhabri aesi mili hai uchhlne lage hum hawa mein puri hui dil ki tamanna badha hi asar tha dua mein banthan ke baal bana ke joota police karwa ke nachenge hum tata thaiya sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara sajan radio.. oo.. bajaike sabhi ko nachaiyo zara sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara O.. mere dil ka khoya sa tukda Lautega ek din kabhi Iska mujhe tha yakeen Iska mujhe tha yakeen, jaana Sadqe mein chaahe lag jaaye isko Saari umar bhi meri Hoga mujhe gham nahi Hoga mujhe gham nahi Afsar ke jaisa aintha Motor-gaadi mein betha Aayega mera sipahiya Sajan Radio… oo… Bajaiyo bajaiyo bajaiyo zara Sajan Radio… oo… Bajai ke sabhi ko nachaiyo zara Sajan Radio… oo… Bajaiyo bajaiyo bajaiyo zara Pa pa pa prrrp prrrp Pa pa pa prrrp prrrp O Kaaka O Mausi O cycle waale bhaiya Ban-than ke baal bana ke Joota polish karwa ke Naachenge hum ta-ta-thaiya sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara sajan radio.. oo.. bajaike sabhi ko nachaiyo zara sajan radio.. oo.. bajaiyo, bajaiyo bajaiyo zara",
88,Aaj Ki Party,Pritam,"aye party, o party, aye party party party
aye party, o party, aye party party party
hai celebration naacho dhana-dhan
music bajaao keh do ye sabse
hai celebration naacho dhana-dhan
music bajaao keh do ye sabse
aaj ki party meri taraf se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se

dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo
dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo

machi hai chull, tod ke rule
kare wo step ki gire log daayein baayein
neend bhi gull, jashn hai full
naache jamke ke poora floor hill jaaye
baaz naa aaye, shor machaaye
party jo na kare usko tata bye
machi hai chull, tod ke rule
kare wo step ki gire log daayein baayein
neend bhi gull, jashn hai full
naache jamke ke poora floor hill jaaye
baaz naa aaye, shor machaaye
party jo na kare usko tata bye
hai invitation milke kare fun
aao jahaaz mein ya bharke truck se
aaj ki party meri taraf se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se

dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo
dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo

hai celebration naacho dhana-dhan
music bajaao keh do ye sabse
aaj ki party meri taraf se
aaj ki party meri taraf se
chaand ko bolo utre falak se
aaj ki party meri taraf se

dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo
dum dum dukur dukur ahaa
dum dum dukur dukur oho
dum dum dukur dukur
dhing pata pat dhingri popo

 ",
89,Selfie Le Le Re,Pritam,"Jai Jai Bajrangbali

Tod de dushman ki nali (x2)

Hey...

Dha tuna tuna baaje danka

London ho ya Lanka

Goonje re chaaron ore (x2)

Aap ki rahe anukampa

Na darr na hi shanka

Nachenge hum chor

Jogi chalaye koi jantar
Khilega tera antar

Tu aaja guru mantar

Ye le le re

Ae le le, ae le, ae le

Ae le le, le le re (x4)

Apna paraya jo bhi le jhappi le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Masti ki tanki me tanik dubki le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Chal beta selfie le le re

(Ae ae ae ae ae...)

Chal beta Selfie le le re

Chal beta Selfie le le re

Chal beta Selfie le le re

Tu meri nautanki tu hi cinema

Tu mere saath gar ho

Tu hi kamaai meri aur tu hi beema

Tu mere saath gar ho o..

Rokegi phir kya mujhe koi seema

Tu mere saath gar ho.. o Rama Rama

Tu meri nautanki tu hi cinema

Tu mere saath gar ho o..

Tu mere sath gar ho le

Magan mann bole,

machak ke hichkole tu le le re

Ae le le, ae le, ae le

Ae le le, le le re (x4)

Apna paraya jo mile jhappi le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Masti ki tanki mein tanik dubki le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Chal beta selfie le le re

(Badshah Rap)

Banda main seedha saada

Na tera na teen main

Mere jaisa na hoga

Chand pe na cheen mein (ae ae ae...)

Kiya wahi jo man ko bhaya

Par kisi ka kabhi bhi dil na dukhaya

Pawan Putra Hanuman ji ki

bhakti mein hoon leen main

Baate na karta badi badi

Koi na maaru tadi tadi

Main apni masti mein hi mast hoon

Duniya dekhe khadi khadi

Rehta hu main bas

Bajrangbali ji ki hi dhun mein hi sadaa

Dil bada rakhte hain jaise Hanuman ji ki ho gadaa

Jaise Hanuman ji ke seene mein

Tum ko Siapati Ram milenge

Seena cheer ke dekho mera tumko Hanuman milenge

Phir bhaiya..

Ae le le, ae le, ae le

Ae le le, le le re ha ha

Ae le le, ae le, ae le

Ae le le, ae le, 1.. 2.. 3.. chabai ki

(Ae le le, ae le, ae le

Ae le le, le le re)

Haule naahi zor se bolo

Le le, le le, le le

Le le, le le le re aahn

Ae le le, ae le, ae le

Ae le le, le le re

Apna paraya jo mile jhappi le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Masti ki tanki mein tanik dubki le le re

(Ae le le, ae le, ae le

Ae le le, le le re)

Chal beta Selfie le le re

Jai Jai Bajrangbali

Tod de dushman ki nali (x4)

(Chal beta selfie le le re)

Phonva pe selfie le le re.",
90,Jai Jai Shivshankar,"Vishal & Shekhar, Benny","Dhoom takit tik takit tik dhin...

(Dhoom ta ta ta dhin ta ta)

To aaj yaar ghar pe ye bol do

Aayenge der se fiqre sab chhod do

Aaj haq se apne hisaab mein

Hum jo karne chale ghalti wo jod lo

To aaj yaar kuch lamho ke liye

Bigdi raahon pe tum pairo ko mod do

Aaj haq se duniya ko bhool ke

Jitne hain qaayde wo saare tod do
Ho khulle ground mein aake

Uccha sound bajaake

Red wala color lagaake

Nachenge hero ban kar

Ho Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Hum aaye bann-thann kar

Ki mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Ho Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

(Tik takit tik takit tik...)

Dhun ke geele geele sur sun ke

Baari baari yahaan jam ke

Aaja desi kamar pe thumke uchaal de

Ho saare sharmaana aaj chhad ke

Zara zara nasha kar ke

Jitni bhi hai sharam dil se nikal de

Apni hi sharton pe nachna

Aaj rangon se koi nahi bachna

Kal Subah tak ab nahi thakna re ho

Ho do do round laga ke

Sau saur pound uda ke

Ho vilaiyti bhang chadha ke

Nachange hero ban kar

Ho Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Hum aaye bann-thann kar

Ki mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Ho Jai Jai Shivshankar

Aaj mood hai bhayankar

Rang udne do (hey hey)

Rang udne do (hey hey)

Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Jai Jai Shiv Shankar

Aaj mood hai bhayankar

Jai Jai Shivshan...

Jai Jai Shiv Jai Jai Shivshan..

Jai Jai Shivshankar...

Aaj mood hai bhayankar

Rang udne do

Rang udne do

Rang udne do...",
91,Naacho Naacho,Vishal Mishra & Rahul,"Bail Jaise Dhool Uda Ke

Seeng Utha Ke Tum Bhi Nacho

Baaje Jam Ke Taal Dhol

Beta Raju Udd Ke Nacho

Teeron Se Bhi Tez Koyi

Kar Sake Jo Bhed Nacho

Astabal Mein Ghode Jaise

Baag Dor Chhod Naacho

Mitti Jota Rot Mota

Mircha Khake Aise NachoHaan Aaja Chhore

Haan Aaja Gore

Haan Aaja Chhore

Naacho Naacho Naacho Naacho

Naacho Naacho Veere Naacho

Naacho Naacho Naacho Naacho

Naacho Naacho Yaara Naacho

Naacho Naacho Naacho

Kachi Kairi Jaise Khatta Naacho

Naacho Naacho Naacho

Bichhu Kaata Laage Aisa Naacho

Goonje Dhol Aise Dekho

Dhan Dhana Ke Rogi Nache

Shor Sunlo Hai Dhamaka

Jaise Sher Hathi Nache

Dekho Dil Ka Yeh Mela

Yaara Apne Sath Naacho

Aediyon Ke Zoron Pe

Dhoom Dhadaka Desi Naacho

Ho Paseena Mathe Ka

Chamke Dhamke Aise Naacho

Haan Aaja Chhore

Haan Aaja Gore

Haan Aaja Chhore

Naacho Naacho Naacho Naacho

Naacho Naacho Veere Naacho

Naacho Naacho Naacho Naacho

Naacho Naacho Yaara Naacho

Naacho Naacho Naacho

Aa Dubara Raag Chheda Naacho

Naacho Naacho Naacho

Usne Chakha Laage Teekha Naacho

Dugu Dugu Dugu Hey Hey

Dugu Dugu Dugu Hey Hey

Dugu Dugu Dugu Hey Hey

Jhoome Gaanv Hai Rela

Uncha Paaon Yun Patka

Hai Yeh Desi Ik Mela

Kaisa Raha Yakayaki

Naacho Naacho Naacho

Oho

Naacho

Arey Dhoom Dhoom Thirke Ja

Paaon Mein Jaan Jaga

Dhumak Dhumak Nache Ja

Duniya Hila De Saari

Naacho Naacho Naacho

Naacho Dhinka Chika Hey Hey

Naacho Naacho Naacho Naacho

Naacho Naacho Naacho

Haan Wahi

Kanakara Kanakara Hey Hey Hey

Kanakara Nakara Nakara

Nakara Nakara Nakara Nakara",
92,Dosti,"Amit Trivedi, MM Kreem","Yaari mein kahin mausam kahaan

Isamein toh hai dum

Kabhi na bhula jo saath hum jaise koyi tufaan

Din ya raat din kaise hota hai

Har waqt woh karate hai hum jo dil karata hai

Kya jaane duniya hai

Kitane cool hum

Har pal jeete hain kal ka kyun gum

Tak dhin tak dhin de ya (x4)

(Har din dosti pehle, har dum dosti chaahe

Har pal dosti ko hum apani ada maane) (x2)

Abhi toh nahi hum hai jawaan kyun soche hum

Samajh abhi aayi kahaan kyun samajhe hum

Din raat raat din sabhi hamaare

Waqt ki raftaar mein kabhi nahi haare

Kya jaane duniya hai kitane cool hum

Har pal jite hain kal ka kyun gum

Tak dhin tak dhin de ya (x4)

(Har din dosti pehle, har dum dosti chaahe

Har pal dosti ko hum apani ada maane) (x2)

Har pal dosti ko hum apani ada maane (x2)",
93,Shish Nawata Hoon,Jubin Nautiyal,"Jahan parvat garv sikhatein hain

Jahan unche neeche sab raste

Bas bhakti ke sur mein gaate hain

Jahan pavan bahe sankalp liye

Jahan parvat garv sikhatein hain

Jahan pavan bahe sankalp liye

Jahan parvat garv sikhatein hain

Jahan unche neeche sab raste

Bhakti ke sur mein gaate hain

Uss devbhoomi ke dhyan se

Main dhany dhany ho jata hoon

Uss devbhoomi ke dhyan se

Main dhanye dhanye ho jata hoon

Hai bhagy mera saubhagy mera

Main Tumko Shish Navata Hoon

Main Tumko Shish Navata Hoon

Aur dhanye dhanye ho jata hoon

Main Tumko Shish Navata Hoon

Aur dhanye dhanye ho jata hoon

Ho jaata hoon ho jaata hoon

Mandve ki roti aur hudke ki thaap

Har ek mann karta Shivji ka jaap

Rishi muniyon ki hai yeh tapobhoomi

Itne veeron ki yeh janmbhoomi

Tum aanchal ho bharat ka

Jeevan ki dhoop mein chhanv tum

Tum aanchal ho bharat ka

Jeevan ki dhoop mein chhanv tum

Bas chhune se tar jaye

Sabse pavitr woh paanv ho tum",
94,Namo Namo, Amit Trivedi | Amitabh B,"Namo Namo

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]

Is desk ke tukde tukde karna koi chahega[male]

Ya dusmana koi apna agr hamse takrayega[female]

Sagon he is miti ki sar uska dhada se kat jayega Namo Namo[male]

Namo Namo Namo Namo[male] [female]

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]

Kali rati kali sirat kala dhan hat jaye
Aaj ke dar me des hamara new india kehlaye[female]

Chapana inch ka sina tane sarhat par wo jaye

Na ghabaraye najane kitne dusman mar giraye[male]

Fir bhi hartarf se atanki baj na aaye[female]

Chup ke pith pe bar kare or pulwama doharaye[male]

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]

Naya dur naye umag naya jos dikhlaya

Sat sal me hua nehi jo panch sal karjaye[female]

Apni maako lut lutke darbadar jo bhatkaye

Pucho to bhai dusro ko chor wo batalaye[male]

Bahat hogayi julm ke aage ab na jhukege[female]

Badte kadam bikas ke apne ab na rokenge

Jo khud mit jaye des ko mitne na de tum usko chuno[male]

Namo Namo Namo Namo[male] [female]

Ye des he bir jawano ka Namo Namo[male]

Bharat maa ke santano ka Namo Namo[female]",
